model,rmse,mae,r2,mape
ridge,4494312.9871678455,1256903.7606022258,0.2796541220585831,0.3289936867471251
hgb,2594012.001626777,717939.3503446514,0.7600291940596939,0.21818947878517814
mlp,3313907.673548568,843445.9132640623,0.6083525914360755,0.2630536537114272
